State,date,Positive COVID Tests,Total COVID Tests,Month,Day,Year,COVID Positivity Rate
Maine,9/29/2020,5337.0,428054.0,09 Sep,29,2020,1.25
Michigan,9/29/2020,136820.0,3618084.0,09 Sep,29,2020,3.78
Minnesota,9/29/2020,98447.0,2017350.0,09 Sep,29,2020,4.88
Missouri,9/29/2020,124762.0,1826199.0,09 Sep,29,2020,6.83
Northern Mariana Islands,9/29/2020,70.0,14846.0,09 Sep,29,2020,0.47
Mississippi,9/29/2020,97638.0,736481.0,09 Sep,29,2020,13.26
Montana,9/29/2020,12724.0,339926.0,09 Sep,29,2020,3.74
North Carolina,9/29/2020,209137.0,3019586.0,09 Sep,29,2020,6.93
North Dakota,9/29/2020,21401.0,608385.0,09 Sep,29,2020,3.52
Nebraska,9/29/2020,44578.0,452557.0,09 Sep,29,2020,9.85
New Hampshire,9/29/2020,8233.0,438972.0,09 Sep,29,2020,1.88
New Jersey,9/29/2020,204563.0,3566760.0,09 Sep,29,2020,5.74
New Mexico,9/29/2020,28985.0,909505.0,09 Sep,29,2020,3.19
Nevada,9/29/2020,79595.0,695720.0,09 Sep,29,2020,11.44
New York,9/29/2020,457649.0,10649353.0,09 Sep,29,2020,4.3
Ohio,9/29/2020,152907.0,3141377.0,09 Sep,29,2020,4.87
Oklahoma,9/29/2020,86219.0,1192403.0,09 Sep,29,2020,7.23
Oregon,9/29/2020,33291.0,679383.0,09 Sep,29,2020,4.9
Pennsylvania,9/29/2020,157814.0,2024575.0,09 Sep,29,2020,7.79
Puerto Rico,9/29/2020,48467.0,354439.0,09 Sep,29,2020,13.67
Rhode Island,9/29/2020,24556.0,760228.0,09 Sep,29,2020,3.23
South Carolina,9/29/2020,147634.0,1300414.0,09 Sep,29,2020,11.35
South Dakota,9/29/2020,21997.0,189146.0,09 Sep,29,2020,11.63
Tennesee,9/29/2020,194611.0,2860481.0,09 Sep,29,2020,6.8
Texas,9/29/2020,743284.0,6200826.0,09 Sep,29,2020,11.99
Utah,9/29/2020,72136.0,821864.0,09 Sep,29,2020,8.78
Virginia,9/29/2020,147516.0,2039510.0,09 Sep,29,2020,7.23
Virgin Islands,9/29/2020,1318.0,20373.0,09 Sep,29,2020,6.47
Vermont,9/29/2020,1749.0,162747.0,09 Sep,29,2020,1.07
Washington,9/29/2020,86638.0,1848463.0,09 Sep,29,2020,4.69
Wisconsin,9/29/2020,126664.0,1540438.0,09 Sep,29,2020,8.22
West Virginia,9/29/2020,15692.0,558313.0,09 Sep,29,2020,2.81
Wyoming,9/29/2020,5821.0,100543.0,09 Sep,29,2020,5.79
Alaska,9/28/2020,8549.0,444791.0,09 Sep,28,2020,1.92
Alabama,9/28/2020,152983.0,1116346.0,09 Sep,28,2020,13.7
Arkansas,9/28/2020,82049.0,997698.0,09 Sep,28,2020,8.22
American Samoa,9/28/2020,0.0,1571.0,09 Sep,28,2020,0.0
Arizona,9/28/2020,217510.0,1448712.0,09 Sep,28,2020,15.01
California,9/28/2020,805263.0,14484852.0,09 Sep,28,2020,5.56
Colorado,9/28/2020,69079.0,1313403.0,09 Sep,28,2020,5.26
Connecticut,9/28/2020,57147.0,1571206.0,09 Sep,28,2020,3.64
District of Columbia,9/28/2020,15264.0,383048.0,09 Sep,28,2020,3.98
Delaware,9/28/2020,20389.0,283815.0,09 Sep,28,2020,7.18
Florida,9/28/2020,701302.0,5261672.0,09 Sep,28,2020,13.33
Georgia,9/28/2020,315281.0,2898498.0,09 Sep,28,2020,10.88
Guam,9/28/2020,2390.0,49211.0,09 Sep,28,2020,4.86
Hawaii,9/28/2020,12295.0,405531.0,09 Sep,28,2020,3.03
Iowa,9/28/2020,84002.0,755316.0,09 Sep,28,2020,11.12
Idaho,9/28/2020,40501.0,303252.0,09 Sep,28,2020,13.36
Illinois,9/28/2020,292128.0,5523141.0,09 Sep,28,2020,5.29
Indiana,9/28/2020,118322.0,1366294.0,09 Sep,28,2020,8.66
Kansas,9/28/2020,58629.0,513909.0,09 Sep,28,2020,11.41
Kentucky,9/28/2020,66939.0,1293140.0,09 Sep,28,2020,5.18
Louisiana,9/28/2020,166315.0,2289618.0,09 Sep,28,2020,7.26
Massachusetts,9/28/2020,131072.0,3931219.0,09 Sep,28,2020,3.33
Maryland,9/28/2020,123880.0,1603099.0,09 Sep,28,2020,7.73
Maine,9/28/2020,5300.0,423396.0,09 Sep,28,2020,1.25
Michigan,9/28/2020,135702.0,3593990.0,09 Sep,28,2020,3.78
Minnesota,9/28/2020,97638.0,2003115.0,09 Sep,28,2020,4.87
Missouri,9/28/2020,124686.0,1813137.0,09 Sep,28,2020,6.88
Northern Mariana Islands,9/28/2020,70.0,14846.0,09 Sep,28,2020,0.47
Mississippi,9/28/2020,97049.0,735892.0,09 Sep,28,2020,13.19
Montana,9/28/2020,12413.0,337196.0,09 Sep,28,2020,3.68
