Year,Month,FIPS,Beverage,Gallons,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
2017,3,5,3,3770863,169689,2455022,0.0691,,
2017,3,8,3,9848197,443169,4634346,0.0956,,
2017,3,9,3,4292946,193183,3015481,0.0641,,
2017,3,12,3,40430413,1819369,17722275,0.1027,,
2017,3,17,3,21032499,946462,10556100,0.0897,,
2017,3,20,3,3892439,175160,2356231,0.0743,,
2017,3,21,3,6286329,282885,3670568,0.0771,,
2017,3,25,3,10467658,471045,5815595,0.081,,
2017,3,29,3,11123045,500537,5037634,0.0994,,
2017,3,38,3,1598135,71916,613251,0.1173,,
2017,3,41,3,7001122,315050,3468412,0.0908,,
2017,3,48,3,42841618,1927873,22572383,0.0854,,
2017,3,51,3,12279624,552583,7015247,0.0788,,
2017,4,2,1,131717,54136,593378,0.0912,,
2017,4,5,1,326769,134302,2455022,0.0547,,
2017,4,8,1,945519,388608,4634346,0.0839,,
2017,4,9,1,530414,218000,3015481,0.0723,,
2017,4,12,1,3220124,1323471,17722275,0.0747,,
2017,4,17,1,1486325,610879,10556100,0.0579,,
2017,4,20,1,394536,162154,2356231,0.0688,,
2017,4,21,1,631720,259637,3670568,0.0707,,
2017,4,22,1,729840,299964,3807282,0.0788,,
2017,4,25,1,1008246,414389,5815595,0.0713,,
2017,4,29,1,980158,402845,5037634,0.08,,
2017,4,38,1,134596,55319,613251,0.0902,,
2017,4,48,1,3109741,1278104,22572383,0.0566,,
2017,4,51,1,899499,369694,7015247,0.0527,,
2017,4,55,1,1398414,574748,4805415,0.1196,,
2017,4,2,2,166416,21468,593378,0.0362,,
2017,4,5,2,369228,47630,2455022,0.0194,,
2017,4,8,2,1376073,177513,4634346,0.0383,,
2017,4,9,2,1070698,138120,3015481,0.0458,,
2017,4,12,2,5967991,769871,17722275,0.0434,,
2017,4,17,2,2698416,348096,10556100,0.033,,
2017,4,21,2,523184,67491,3670568,0.0184,,
2017,4,22,2,763255,98460,3807282,0.0259,,
2017,4,25,2,2326263,300088,5815595,0.0516,,
2017,4,29,2,1068064,137780,5037634,0.0274,,
2017,4,38,2,160336,20683,613251,0.0337,,
2017,4,41,2,1458788,188184,3468412,0.0543,,
2017,4,48,2,4983229,642837,22572383,0.0285,,
2017,4,51,2,2049657,264406,7015247,0.0377,,
2017,4,55,2,1309427,168916,4805415,0.0352,,
2017,4,2,3,1069064,48108,593378,0.0811,,
2017,4,5,3,4105442,184745,2455022,0.0753,,
2017,4,8,3,8949796,402741,4634346,0.0869,,
2017,4,9,3,4328935,194802,3015481,0.0646,,
2017,4,12,3,35827699,1612246,17722275,0.091,,
2017,4,17,3,20328054,914762,10556100,0.0867,,
2017,4,20,3,4814917,216671,2356231,0.092,,
2017,4,21,3,6690048,301052,3670568,0.082,,
2017,4,25,3,10183607,458262,5815595,0.0788,,
2017,4,29,3,10903214,490645,5037634,0.0974,,
2017,4,38,3,1934276,87042,613251,0.1419,,
2017,4,41,3,8949102,402710,3468412,0.1161,,
2017,4,48,3,55984422,2519299,22572383,0.1116,,
2017,4,51,3,11933973,537029,7015247,0.0766,,
2017,5,2,1,158173,65009,593378,0.1096,,
2017,5,5,1,291084,119635,2455022,0.0487,,
2017,5,8,1,1176509,483545,4634346,0.1043,,
2017,5,9,1,648230,266423,3015481,0.0884,,
2017,5,12,1,3920402,1611285,17722275,0.0909,,
2017,5,17,1,2043145,839733,10556100,0.0795,,
2017,5,20,1,345270,141906,2356231,0.0602,,
2017,5,21,1,573843,235849,3670568,0.0643,,
2017,5,22,1,799698,328676,3807282,0.0863,,
2017,5,25,1,1268448,521332,5815595,0.0896,,
2017,5,29,1,1087550,446983,5037634,0.0887,,
2017,5,38,1,177927,73128,613251,0.1192,,
2017,5,48,1,3262063,1340708,22572383,0.0594,,
2017,5,51,1,974894,400681,7015247,0.0571,,
2017,5,55,1,1067255,438642,4805415,0.0913,,
2017,5,2,2,225526,29093,593378,0.049,,
2017,5,5,2,322580,41613,2455022,0.017,,
2017,5,8,2,1528132,197129,4634346,0.0425,,
2017,5,9,2,1187011,153124,3015481,0.0508,,
2017,5,12,2,5658457,729941,17722275,0.0412,,
2017,5,17,2,3201436,412985,10556100,0.0391,,
2017,5,21,2,496274,64019,3670568,0.0174,,
2017,5,22,2,826811,106659,3807282,0.028,,
2017,5,25,2,2534209,326913,5815595,0.0562,,
2017,5,29,2,1191653,153723,5037634,0.0305,,
2017,5,38,2,121996,15738,613251,0.0257,,
2017,5,41,2,1114087,143717,3468412,0.0414,,
2017,5,48,2,4567998,589272,22572383,0.0261,,
2017,5,51,2,2277394,293784,7015247,0.0419,,
2017,5,55,2,1077970,139058,4805415,0.0289,,
2017,5,2,3,1457979,65609,593378,0.1106,,
2017,5,5,3,4387883,197455,2455022,0.0804,,
2017,5,8,3,10684955,480823,4634346,0.1038,,
2017,5,9,3,5209941,234447,3015481,0.0777,,
2017,5,12,3,38488906,1732001,17722275,0.0977,,
2017,5,17,3,25126460,1130691,10556100,0.1071,,
2017,5,20,3,4224806,190116,2356231,0.0807,,
2017,5,21,3,5983942,269277,3670568,0.0734,,
2017,5,25,3,12158741,547143,5815595,0.0941,,
2017,5,29,3,12137281,546178,5037634,0.1084,,
2017,5,38,3,2116074,95223,613251,0.1553,,
2017,5,41,3,7206334,324285,3468412,0.0935,,
2017,5,48,3,49560853,2230238,22572383,0.0988,,
2017,5,51,3,14616567,657746,7015247,0.0938,,
2017,6,2,1,181130,74444,593378,0.1255,,
2017,6,5,1,327954,134789,2455022,0.0549,,
2017,6,8,1,1438590,591260,4634346,0.1276,,
2017,6,9,1,768255,315753,3015481,0.1047,,
2017,6,12,1,4603094,1891872,17722275,0.1068,,
2017,6,17,1,2358265,969247,10556100,0.0918,,
2017,6,20,1,377964,155343,2356231,0.0659,,
2017,6,21,1,650132,267204,3670568,0.0728,,
2017,6,22,1,869685,357440,3807282,0.0939,,
2017,6,25,1,1883692,774198,5815595,0.1331,,
2017,6,29,1,1193229,490417,5037634,0.0974,,
2017,6,38,1,201090,82648,613251,0.1348,,
2017,6,48,1,3225024,1325485,22572383,0.0587,,
2017,6,51,1,966995,397435,7015247,0.0567,,
2017,6,55,1,1416800,582305,4805415,0.1212,,
2017,6,2,2,252221,32537,593378,0.0548,,
2017,6,5,2,330236,42600,2455022,0.0174,,
2017,6,8,2,1708736,220427,4634346,0.0476,,
2017,6,9,2,1298365,167489,3015481,0.0555,,
2017,6,12,2,5702031,735562,17722275,0.0415,,
2017,6,17,2,3487153,449843,10556100,0.0426,,
2017,6,21,2,530906,68487,3670568,0.0187,,
2017,6,22,2,856872,110536,3807282,0.029,,
2017,6,25,2,3272019,422090,5815595,0.0726,,
2017,6,29,2,1421505,183374,5037634,0.0364,,
2017,6,38,2,122821,15844,613251,0.0258,,
2017,6,41,2,1265686,163274,3468412,0.0471,,
2017,6,48,2,5012995,646676,22572383,0.0286,,
