State,Year,Month,Beverage,Ethanol,Population,PerCapita,PerCapita3yr,PctChange
Connecticut,2019,02 Feb,Spirits,251946,3019188,0.0834,,
Florida,2019,02 Feb,Spirits,1433429,18207522,0.0787,,
Illinois,2019,02 Feb,Spirits,634484,10512479,0.0604,,
Kansas,2019,02 Feb,Spirits,153918,2371396,0.0649,,
Kentucky,2019,02 Feb,Spirits,198360,3691561,0.0537,,
Louisiana,2019,02 Feb,Spirits,257729,3799736,0.0678,,
Massachusetts,2019,02 Feb,Spirits,350637,5862386,0.0598,,
Missouri,2019,02 Feb,Spirits,375449,5077875,0.0739,,
North Dakota,2019,02 Feb,Spirits,62715,617880,0.1015,,
Texas,2019,02 Feb,Spirits,1371692,23257363,0.059000000000000004,,
Virginia,2019,02 Feb,Spirits,361980,7094962,0.051,,
Wisconsin,2019,02 Feb,Spirits,408271,4851640,0.0842,,
Alaska,2019,02 Feb,Wine,21549,589481,0.0366,,
Arkansas,2019,02 Feb,Wine,54572,2476087,0.022000000000000002,,
Colorado,2019,02 Feb,Wine,194764,4789291,0.0407,,
Connecticut,2019,02 Feb,Wine,125064,3019188,0.0414,,
Florida,2019,02 Feb,Wine,819451,18207522,0.045,,
Illinois,2019,02 Feb,Wine,355060,10512479,0.0338,,
Kentucky,2019,02 Feb,Wine,56040,3691561,0.0152,,
Louisiana,2019,02 Feb,Wine,95026,3799736,0.025,,
Massachusetts,2019,02 Feb,Wine,239497,5862386,0.0409,,
Missouri,2019,02 Feb,Wine,142300,5077875,0.027999999999999997,,
North Dakota,2019,02 Feb,Wine,13197,617880,0.0214,,
Oregon,2019,02 Feb,Wine,148140,3547474,0.0418,,
Texas,2019,02 Feb,Wine,581968,23257363,0.025,,
Virginia,2019,02 Feb,Wine,257685,7094962,0.0363,,
Wisconsin,2019,02 Feb,Wine,153921,4851640,0.0317,,
Alaska,2019,02 Feb,Beer,35928,589481,0.0609,,
Arkansas,2019,02 Feb,Beer,169511,2476087,0.0685,,
Colorado,2019,02 Feb,Beer,354141,4789291,0.0739,,
Connecticut,2019,02 Feb,Beer,146445,3019188,0.0485,,
Florida,2019,02 Feb,Beer,1430314,18207522,0.0786,,
Illinois,2019,02 Feb,Beer,731374,10512479,0.0696,,
Kansas,2019,02 Feb,Beer,181808,2371396,0.0767,,
Kentucky,2019,02 Feb,Beer,114295,3691561,0.031,,
Massachusetts,2019,02 Feb,Beer,340307,5862386,0.057999999999999996,,
Missouri,2019,02 Feb,Beer,173980,5077875,0.0343,,
North Dakota,2019,02 Feb,Beer,56110,617880,0.0908,,
Oregon,2019,02 Feb,Beer,292047,3547474,0.0823,,
Texas,2019,02 Feb,Beer,1965981,23257363,0.0845,,
Virginia,2019,02 Feb,Beer,434430,7094962,0.0612,,
Alaska,2019,03 Mar,Spirits,60900,589481,0.1033,,
Arkansas,2019,03 Mar,Spirits,142334,2476087,0.0575,,
Colorado,2019,03 Mar,Spirits,484692,4789291,0.1012,,
Connecticut,2019,03 Mar,Spirits,229812,3019188,0.0761,,
Florida,2019,03 Mar,Spirits,1875541,18207522,0.10300000000000001,,
Illinois,2019,03 Mar,Spirits,715210,10512479,0.068,,
Kansas,2019,03 Mar,Spirits,142960,2371396,0.0603,,
Kentucky,2019,03 Mar,Spirits,216031,3691561,0.0585,,
Louisiana,2019,03 Mar,Spirits,263867,3799736,0.0694,,
Massachusetts,2019,03 Mar,Spirits,451031,5862386,0.0769,,
Missouri,2019,03 Mar,Spirits,438535,5077875,0.0864,,
North Dakota,2019,03 Mar,Spirits,63494,617880,0.1028,,
Texas,2019,03 Mar,Spirits,1231361,23257363,0.0529,,
Virginia,2019,03 Mar,Spirits,413413,7094962,0.0583,,
Wisconsin,2019,03 Mar,Spirits,450865,4851640,0.0929,,
Alaska,2019,03 Mar,Wine,23356,589481,0.0396,,
Arkansas,2019,03 Mar,Wine,45884,2476087,0.0185,,
Colorado,2019,03 Mar,Wine,188030,4789291,0.0393,,
Connecticut,2019,03 Mar,Wine,143239,3019188,0.0474,,
Florida,2019,03 Mar,Wine,825764,18207522,0.0454,,
Illinois,2019,03 Mar,Wine,353356,10512479,0.0336,,
Kentucky,2019,03 Mar,Wine,60431,3691561,0.0164,,
Louisiana,2019,03 Mar,Wine,85856,3799736,0.0226,,
Massachusetts,2019,03 Mar,Wine,254419,5862386,0.0434,,
Missouri,2019,03 Mar,Wine,157173,5077875,0.031,,
North Dakota,2019,03 Mar,Wine,14730,617880,0.0238,,
Oregon,2019,03 Mar,Wine,103744,3547474,0.0292,,
Texas,2019,03 Mar,Wine,591739,23257363,0.0254,,
Virginia,2019,03 Mar,Wine,261211,7094962,0.0368,,
Wisconsin,2019,03 Mar,Wine,116555,4851640,0.024,,
Alaska,2019,03 Mar,Beer,44638,589481,0.0757,,
Arkansas,2019,03 Mar,Beer,150820,2476087,0.0609,,
Colorado,2019,03 Mar,Beer,411489,4789291,0.0859,,
Connecticut,2019,03 Mar,Beer,175885,3019188,0.0583,,
Florida,2019,03 Mar,Beer,1725195,18207522,0.0948,,
Illinois,2019,03 Mar,Beer,831161,10512479,0.0791,,
Kansas,2019,03 Mar,Beer,143606,2371396,0.0606,,
Kentucky,2019,03 Mar,Beer,243751,3691561,0.066,,
