2017,2018,2019,2020
279.87000000000006,285.63999999999993,288.06999999999994,135.83
181.79999999999995,178.05999999999997,180.75999999999996,88.59
284.48,288.13,278.53,113.49999999999999
240.77999999999997,240.44999999999996,247.06999999999994,75.36
263.31,261.92,266.28000000000003,134.21999999999997
238.15999999999997,238.93999999999997,240.44000000000003,111.87
183.23999999999998,177.85000000000002,183.61999999999998,91.78
197.35999999999999,195.77999999999997,202.18999999999997,102.12
133.14999999999998,132.55999999999997,134.09999999999997,69.55
257.7,255.85,256.58000000000004,123.19999999999999
253.28,251.11999999999995,255.80999999999995,128.07000000000002
315.14000000000004,317.2600000000001,318.61000000000007,157.33
183.14,178.92999999999995,173.54999999999998,79.33999999999999
234.09000000000003,226.27,227.76999999999998,117.91
212.67000000000004,213.88000000000002,216.01999999999998,99.6
166.03000000000006,164.28,168.03,80.46
