2017,2018,2019,2020
5.745909090909091,5.72909090909091,6.1365909090909065,6.2484090909090915
5.66590909090909,5.620909090909091,5.592727272727273,5.9197727272727265
6.685909090909092,6.396136363636362,6.328863636363636,6.746363636363637
6.668636363636366,6.482727272727273,6.802954545454545,6.720454545454545
7.155681818181819,7.434545454545456,7.345681818181819,7.123170731707317
8.093181818181817,7.906136363636365,7.645227272727274,7.803783783783787
6.919772727272729,7.111136363636362,7.350454545454545,
7.148636363636363,7.361818181818182,7.174545454545453,
6.807045454545453,6.680227272727271,6.5465909090909085,
6.776136363636366,6.868636363636364,7.244318181818178,
7.159090909090909,7.069318181818184,7.026136363636365,
7.542272727272729,7.314772727272726,7.474772727272727,
