State,Month,Year,Beverage,Ethanol,PerCapita,,,,,,,,
Arkansas,4,2017,Spirits,134302,5.47,,,1,16.12,16.02,17.6,17.29,67.03
Arkansas,4,2017,Wine,47630,1.94,,,2,19.21,17.98,13.62,18.7,69.51
Arkansas,4,2017,Beer,184745,7.53,,,3,22.05,20.8,25.43,22.6,90.88
Arkansas,5,2017,Spirits,119635,4.87,,,4,20.48,21.19,21.99,22.12,85.78
Arkansas,5,2017,Wine,41613,1.7,,,5,22.76,23.12,24.02,21.92,91.82
Arkansas,5,2017,Beer,197455,8.04,,,6,24.21,23.17,22.96,25.44,95.78
Arkansas,6,2017,Spirits,134789,5.49,,,7,19.66,20.59,21.11,,61.36
Arkansas,6,2017,Wine,42600,1.74,,,8,22.3,23.62,21.2,,67.12
Arkansas,6,2017,Beer,219354,8.93,,,9,22.6,20.95,21.74,,65.29
Arkansas,7,2017,Spirits,158511,6.46,,,10,21.36,22.54,21.95,,65.85
Arkansas,7,2017,Wine,47161,1.92,,,11,22.05,21.45,22.16,,65.66
Arkansas,7,2017,Beer,219406,8.94,,,12,20.48,19.69,22.03,,62.2
Arkansas,8,2017,Spirits,116702,4.75,,,North Dakota,315.14,317.26,318.61,157.33,1108.34
Arkansas,8,2017,Wine,40599,1.65,,,1,21.2,22.47,22.22,22.11,88
Arkansas,8,2017,Beer,200128,8.15,,,2,22.4,21.67,21.37,22.02,87.46
Arkansas,9,2017,Spirits,151398,6.17,,,3,25.24,24.28,24.67,28.05,102.24
Arkansas,9,2017,Wine,43750,1.78,,,4,26.58,26.54,28.19,25.45,106.76
Arkansas,9,2017,Beer,217917,8.88,,,5,30.02,29.09,28.33,25.92,113.36
Arkansas,10,2017,Spirits,125104,5.1,,,6,32.67,33.83,30.89,33.78,131.17
Arkansas,10,2017,Wine,42540,1.73,,,7,26.28,27.28,29.11,,82.67
Arkansas,10,2017,Beer,191956,7.82,,,8,28.04,26.85,27.2,,82.09
Arkansas,11,2017,Spirits,154462,6.29,,,9,23.37,23.16,25.47,,72
Arkansas,11,2017,Wine,57449,2.34,,,10,25.46,26.54,25.38,,77.38
Arkansas,11,2017,Beer,192734,7.85,,,11,27.37,25.68,24.74,,77.79
Arkansas,12,2017,Spirits,153625,6.26,,,12,26.51,29.87,31.04,,87.42
Arkansas,12,2017,Wine,58647,2.39,,,Oregon,183.14,178.93,173.55,79.34,614.96
Arkansas,12,2017,Beer,159974,6.52,,,1,13.37,12.45,14.16,13.22,53.2
Arkansas,1,2018,Spirits,133187,5.4,,,2,12.55,13.59,12.41,13.21,51.76
Arkansas,1,2018,Wine,59547,2.42,,,3,13.86,11.12,11.18,9.39,45.55
Arkansas,1,2018,Beer,154479,6.27,,,4,17.04,13.59,15.84,14.06,60.53
